Level;Density
14805;0.46483
14783;0.46491
14768;0.46363
14761;0.46441
14741;0.46443
14717;0.46514
14697;0.46574
14659;0.46630
14643;0.46678
14629;0.46488
14612;0.46539
14617;0.46524
14396;0.46606
13805;0.46640
13408;0.46673
13032;0.46638
12616;0.46539
12248;0.46401
11518;0.46369
11214;0.46342
10872;0.46309
10457;0.46413
10190;0.46392
9789;0.46192
9500;0.46001
9267;0.45991
8955;0.46075
8638;0.46093
8282;0.46014
7979;0.45959
7723;0.45964
7275;0.45725
6913;0.45188
6662;0.44899
6766;0.44289
8241;0.44838
8147;0.45005
7761;0.44928
7429;0.44987
7070;0.44863
6676;0.44697
6304;0.44375
5922;0.44481
5592;0.44380
5197;0.44297
4796;0.44091
4295;0.44003
4044;0.43683
3469;0.43032
2947;0.42305
2268;0.41121
2191;0.40978
2040;0.40627
