Level;Density
1863;0.402
2007;0.401
2342;0.411
2618;0.418
2865;0.420
3069;0.423
3257;0.426
3443;0.427
3645;0.430
3852;0.432
4051;0.433
4239;0.435
4430;0.436
4615;0.437
4791;0.439
4960;0.439
5126;0.440
5281;0.441
5435;0.442
5582;0.442
5727;0.442
5854;0.443
5978;0.444
6096;0.445
6187;0.444
6320;0.445
6452;0.445
6570;0.446
6694;0.446
6798;0.446
6902;0.446
7111;0.447
7243;0.447
7362;0.447
7481;0.448
7599;0.448
7712;0.449
7826;0.448
7939;0.448
8056;0.449
8162;0.449
8267;0.449
8374;0.449
8479;0.449
8583;0.450
8684;0.450
8784;0.450
8986;0.450
9076;0.451
9173;0.451
9279;0.451
9385;0.451
9590;0.451
9695;0.451
9795;0.451
9894;0.451
9928;0.452
9951;0.452
9973;0.452
9997;0.452
10155;0.452
10255;0.453
10463;0.452
10569;0.453
10670;0.453
10774;0.453
10880;0.453
11039;0.454
11238;0.454
11427;0.454
11614;0.454
11711;0.454
11948;0.455
12095;0.455
12241;0.455
12385;0.455
12532;0.455
12676;0.456
12821;0.456
12964;0.456
13105;0.456
13251;0.456
13334;0.457
13467;0.456
13618;0.457
13773;0.457
13930;0.457
14089;0.457
14252;0.457
14412;0.457
14577;0.457
14721;0.458
